============================================================
EXECUTANDO EXEMPLOS DO BIONIX
============================================================

[1/4] Exemplo 1: Testes do Núcleo (exemplo)...

[2/4] Exemplo 2: Modelo Linear com CSV e persistência...

[3/4] Exemplo 3: Espirais intercaladas com BMP + autograd + MLP...

[4/4] Exemplo 4: Reconhecimento de dígitos 0-9 com MLP...
--- Exemplo e000004: reconhecimento de dígitos (0-9) com MLP ---
Arquivos split | treino: 2240 | valid: 480 | teste: 480
Redimensionamento alvo: 32 x 32
Carregando 2240 imagens...
  progresso: 500 / 2240
  progresso: 1000 / 2240
  progresso: 1500 / 2240
  progresso: 2000 / 2240
Carregando 480 imagens...
Carregando 480 imagens...
Amostras treino: 2240 | Features: 1024
Amostras validação: 480 | Amostras teste: 480 | Classes: 10
Carregando pesos salvos de: exemplos/e000004_reconhecimento_digitos/pesos_mlp_digits.txt
Configuração MLP | Ativação saída: softmax | Perda: cross_entropy
Epocas: 1500 | Lote: 64 | LR: 0.005 | ReduceOnPlateau: True | FatorReduceLR: 0.5 | PacienciaReduceLR: 5 | LRMinReduce: 0.0001 | InferenciaSomente: False | SalvarCheckpoint: True
Época 0 | Loss treino médio: 3.1311412 | Loss validação: 2.8145492 | Acc validação: 0.104166664 | LR: 0.005
Época 1 | Loss treino médio: 2.5976615 | Loss validação: 2.492166 | Acc validação: 0.11666667 | LR: 0.005
Época 2 | Loss treino médio: 2.5261676 | Loss validação: 2.6572008 | Acc validação: 0.1125 | LR: 0.005
Época 3 | Loss treino médio: 2.477422 | Loss validação: 2.4330869 | Acc validação: 0.12291667 | LR: 0.005
Época 4 | Loss treino médio: 2.426014 | Loss validação: 2.4165886 | Acc validação: 0.108333334 | LR: 0.005
Época 5 | Loss treino médio: 2.4056597 | Loss validação: 2.4220588 | Acc validação: 0.1625 | LR: 0.005
Época 6 | Loss treino médio: 2.3992474 | Loss validação: 2.3851733 | Acc validação: 0.12916666 | LR: 0.005
Época 7 | Loss treino médio: 2.3669527 | Loss validação: 2.3271813 | Acc validação: 0.14791666 | LR: 0.005
Época 8 | Loss treino médio: 2.3542886 | Loss validação: 2.321308 | Acc validação: 0.1625 | LR: 0.005
Época 9 | Loss treino médio: 2.3361025 | Loss validação: 2.3274157 | Acc validação: 0.125 | LR: 0.005
Época 10 | Loss treino médio: 2.3087869 | Loss validação: 2.2936594 | Acc validação: 0.175 | LR: 0.005
Época 11 | Loss treino médio: 2.2956464 | Loss validação: 2.3229997 | Acc validação: 0.13958333 | LR: 0.005
Época 12 | Loss treino médio: 2.2811492 | Loss validação: 2.326306 | Acc validação: 0.16666667 | LR: 0.005
Época 13 | Loss treino médio: 2.2563667 | Loss validação: 2.2735038 | Acc validação: 0.16666667 | LR: 0.005
Época 14 | Loss treino médio: 2.2610996 | Loss validação: 2.288811 | Acc validação: 0.15208334 | LR: 0.005
Época 15 | Loss treino médio: 2.2557736 | Loss validação: 2.2540426 | Acc validação: 0.19791667 | LR: 0.005
Época 16 | Loss treino médio: 2.2423875 | Loss validação: 2.2537716 | Acc validação: 0.17291667 | LR: 0.005
Época 17 | Loss treino médio: 2.2224793 | Loss validação: 2.3273463 | Acc validação: 0.104166664 | LR: 0.005
Época 18 | Loss treino médio: 2.2115264 | Loss validação: 2.2690284 | Acc validação: 0.15208334 | LR: 0.005
Época 19 | Loss treino médio: 2.193485 | Loss validação: 2.220467 | Acc validação: 0.19791667 | LR: 0.005
Época 20 | Loss treino médio: 2.184686 | Loss validação: 2.1814258 | Acc validação: 0.21458334 | LR: 0.005
Época 21 | Loss treino médio: 2.18236 | Loss validação: 2.1638515 | Acc validação: 0.21875 | LR: 0.005
Época 22 | Loss treino médio: 2.1671176 | Loss validação: 2.152623 | Acc validação: 0.25416666 | LR: 0.005
Época 23 | Loss treino médio: 2.1552477 | Loss validação: 2.1975045 | Acc validação: 0.18125 | LR: 0.005
Época 24 | Loss treino médio: 2.149969 | Loss validação: 2.1689432 | Acc validação: 0.23125 | LR: 0.005
Época 25 | Loss treino médio: 2.1233442 | Loss validação: 2.150875 | Acc validação: 0.26041666 | LR: 0.005
Época 26 | Loss treino médio: 2.1460524 | Loss validação: 2.1511903 | Acc validação: 0.19583334 | LR: 0.005
Época 27 | Loss treino médio: 2.1292567 | Loss validação: 2.174661 | Acc validação: 0.22291666 | LR: 0.005
Época 28 | Loss treino médio: 2.108307 | Loss validação: 2.1311915 | Acc validação: 0.23125 | LR: 0.005
Época 29 | Loss treino médio: 2.1079292 | Loss validação: 2.1171324 | Acc validação: 0.275 | LR: 0.005
Época 30 | Loss treino médio: 2.1097944 | Loss validação: 2.1121793 | Acc validação: 0.275 | LR: 0.005
Época 31 | Loss treino médio: 2.0986486 | Loss validação: 2.1455178 | Acc validação: 0.20625 | LR: 0.005
Época 32 | Loss treino médio: 2.0927517 | Loss validação: 2.1074593 | Acc validação: 0.25 | LR: 0.005
Época 33 | Loss treino médio: 2.1077495 | Loss validação: 2.1028075 | Acc validação: 0.27708334 | LR: 0.005
Época 34 | Loss treino médio: 2.0802424 | Loss validação: 2.088596 | Acc validação: 0.26458332 | LR: 0.005
Época 35 | Loss treino médio: 2.073222 | Loss validação: 2.1027389 | Acc validação: 0.27291668 | LR: 0.005
Época 36 | Loss treino médio: 2.0634198 | Loss validação: 2.1204174 | Acc validação: 0.21875 | LR: 0.005
Época 37 | Loss treino médio: 2.0582786 | Loss validação: 2.0650535 | Acc validação: 0.28125 | LR: 0.005
Época 38 | Loss treino médio: 2.0576277 | Loss validação: 2.085571 | Acc validação: 0.30416667 | LR: 0.005
Época 39 | Loss treino médio: 2.0475273 | Loss validação: 2.0822494 | Acc validação: 0.23958333 | LR: 0.005
Época 40 | Loss treino médio: 2.0382676 | Loss validação: 2.067118 | Acc validação: 0.25625 | LR: 0.005
Época 41 | Loss treino médio: 2.0315762 | Loss validação: 2.0608833 | Acc validação: 0.28125 | LR: 0.005
Época 42 | Loss treino médio: 2.0253763 | Loss validação: 2.0573745 | Acc validação: 0.29583332 | LR: 0.005
[ReduceLROnPlateau] acc recuou após inércia. LR: 0.005 -> 0.0025
Época 43 | Loss treino médio: 2.0212462 | Loss validação: 2.0608125 | Acc validação: 0.29166666 | LR: 0.0025
Época 44 | Loss treino médio: 1.9950038 | Loss validação: 2.0333335 | Acc validação: 0.31041667 | LR: 0.0025
Época 45 | Loss treino médio: 1.9884307 | Loss validação: 2.028779 | Acc validação: 0.32916668 | LR: 0.0025
Época 46 | Loss treino médio: 1.9852629 | Loss validação: 2.0270312 | Acc validação: 0.31875 | LR: 0.0025
Época 47 | Loss treino médio: 1.986058 | Loss validação: 2.0258553 | Acc validação: 0.32291666 | LR: 0.0025
Época 48 | Loss treino médio: 1.9815166 | Loss validação: 2.0376968 | Acc validação: 0.30208334 | LR: 0.0025
Época 49 | Loss treino médio: 1.9774838 | Loss validação: 2.0324907 | Acc validação: 0.31875 | LR: 0.0025
Época 50 | Loss treino médio: 1.9779881 | Loss validação: 2.0206342 | Acc validação: 0.33541668 | LR: 0.0025
Época 51 | Loss treino médio: 1.9715027 | Loss validação: 2.022902 | Acc validação: 0.32291666 | LR: 0.0025
Época 52 | Loss treino médio: 1.9684606 | Loss validação: 2.0210402 | Acc validação: 0.32708332 | LR: 0.0025
Época 53 | Loss treino médio: 1.965242 | Loss validação: 2.017169 | Acc validação: 0.325 | LR: 0.0025
Época 54 | Loss treino médio: 1.963989 | Loss validação: 2.0230472 | Acc validação: 0.32291666 | LR: 0.0025
[ReduceLROnPlateau] acc recuou após inércia. LR: 0.0025 -> 0.00125
Época 55 | Loss treino médio: 1.9651077 | Loss validação: 2.0181603 | Acc validação: 0.32291666 | LR: 0.00125
Época 56 | Loss treino médio: 1.9546077 | Loss validação: 2.0041163 | Acc validação: 0.34791666 | LR: 0.00125
Época 57 | Loss treino médio: 1.9499133 | Loss validação: 2.008926 | Acc validação: 0.35416666 | LR: 0.00125
Época 58 | Loss treino médio: 1.950596 | Loss validação: 2.0003922 | Acc validação: 0.33958334 | LR: 0.00125
Época 59 | Loss treino médio: 1.9479896 | Loss validação: 2.0039854 | Acc validação: 0.36666667 | LR: 0.00125
Época 60 | Loss treino médio: 1.9463617 | Loss validação: 2.0061767 | Acc validação: 0.33125 | LR: 0.00125
Época 61 | Loss treino médio: 1.9443377 | Loss validação: 1.9998763 | Acc validação: 0.34375 | LR: 0.00125
Época 62 | Loss treino médio: 1.9462019 | Loss validação: 1.998823 | Acc validação: 0.33333334 | LR: 0.00125
Época 63 | Loss treino médio: 1.9449668 | Loss validação: 1.9941117 | Acc validação: 0.34166667 | LR: 0.00125
[ReduceLROnPlateau] acc recuou após inércia. LR: 0.00125 -> 0.000625
Época 64 | Loss treino médio: 1.941432 | Loss validação: 1.9946656 | Acc validação: 0.35833332 | LR: 0.000625
Época 65 | Loss treino médio: 1.9384063 | Loss validação: 1.9924306 | Acc validação: 0.35833332 | LR: 0.000625
Época 66 | Loss treino médio: 1.9365561 | Loss validação: 1.9930453 | Acc validação: 0.35 | LR: 0.000625
Época 67 | Loss treino médio: 1.9354398 | Loss validação: 1.990757 | Acc validação: 0.36458334 | LR: 0.000625
Época 68 | Loss treino médio: 1.9347142 | Loss validação: 1.9907457 | Acc validação: 0.35416666 | LR: 0.000625
[ReduceLROnPlateau] acc recuou após inércia. LR: 0.000625 -> 0.0003125
Época 69 | Loss treino médio: 1.9346324 | Loss validação: 1.9906259 | Acc validação: 0.34791666 | LR: 0.0003125
Época 70 | Loss treino médio: 1.9325067 | Loss validação: 1.9896172 | Acc validação: 0.34166667 | LR: 0.0003125
Época 71 | Loss treino médio: 1.93165 | Loss validação: 1.9893041 | Acc validação: 0.36041668 | LR: 0.0003125
Época 72 | Loss treino médio: 1.9316322 | Loss validação: 1.9887458 | Acc validação: 0.35416666 | LR: 0.0003125
Época 73 | Loss treino médio: 1.9310538 | Loss validação: 1.9881753 | Acc validação: 0.35833332 | LR: 0.0003125
[ReduceLROnPlateau] acc recuou após inércia. LR: 0.0003125 -> 0.00015625
Época 74 | Loss treino médio: 1.9307637 | Loss validação: 1.9880264 | Acc validação: 0.34375 | LR: 0.00015625
Época 75 | Loss treino médio: 1.9293163 | Loss validação: 1.9877344 | Acc validação: 0.35 | LR: 0.00015625
Época 76 | Loss treino médio: 1.9291759 | Loss validação: 1.9874891 | Acc validação: 0.35416666 | LR: 0.00015625
Época 77 | Loss treino médio: 1.9290835 | Loss validação: 1.987315 | Acc validação: 0.35416666 | LR: 0.00015625
Época 78 | Loss treino médio: 1.9288136 | Loss validação: 1.9870583 | Acc validação: 0.35208333 | LR: 0.00015625
[ReduceLROnPlateau] acc recuou após inércia. LR: 0.00015625 -> 0.0001
Época 79 | Loss treino médio: 1.9287499 | Loss validação: 1.987017 | Acc validação: 0.35416666 | LR: 0.0001
Época 80 | Loss treino médio: 1.9280138 | Loss validação: 1.9869409 | Acc validação: 0.35208333 | LR: 0.0001
Época 81 | Loss treino médio: 1.92806 | Loss validação: 1.9869084 | Acc validação: 0.35208333 | LR: 0.0001
